Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
25/08/2013,15:35:01,"2.1",19.353,-99.1213,"5","3 km al OESTE de IZTAPALAPA, CDMX",25/08/2013,20:35:01,revisado
25/08/2013,15:43:41,"2.3",19.3725,-99.0995,"9.5","2 km al NOROESTE de IZTAPALAPA, CDMX",25/08/2013,20:43:41,revisado
25/08/2013,16:03:44,"2.2",19.3507,-99.196,"2","3 km al NORESTE de LA MAGDALENA C, CDMX",25/08/2013,21:03:44,revisado
01/12/2013,12:04:38,"2.2",19.3755,-99.1875,"5.6","3 km al SURESTE de V ALVARO OBREGON, CDMX",01/12/2013,18:04:38,revisado
02/12/2013,04:09:15,"2",19.3385,-99.1945,"1.5","2 km al NORESTE de LA MAGDALENA C, CDMX",02/12/2013,10:09:15,revisado
19/07/2014,06:57:21,"2.9",19.1497,-98.9523,"4.3","8 km al SUR de S ANDRES MIXQUIC, CDMX",19/07/2014,11:57:21,revisado
03/08/2014,09:02:08,"1.9",19.3173,-99.249,"3","3 km al NOROESTE de TLALPAN, CDMX",03/08/2014,14:02:08,revisado
24/08/2014,06:32:25,"2.6",19.2528,-99.1095,"3.7","4 km al SURESTE de XOCHIMILCO, CDMX",24/08/2014,11:32:25,revisado
05/09/2014,19:26:28,"2.1",19.443,-99.0585,"9.3","7 km al NORESTE de VENUSTIANO CARRANZA, CDMX",06/09/2014,00:26:28,revisado
29/09/2014,02:05:55,"2.1",19.3772,-99.2607,"3","3 km al ESTE de CUAJIMALPA, CDMX",29/09/2014,07:05:55,revisado
06/10/2014,21:54:56,"2.2",19.2253,-99.0972,"3.2","4 km al NORTE de S SALVADOR CUAUHTENCO, CDMX",07/10/2014,02:54:56,revisado
06/10/2014,22:04:11,"2.4",19.2295,-99.0892,"3","4 km al NORTE de S SALVADOR CUAUHTENCO, CDMX",07/10/2014,03:04:11,revisado
28/11/2014,13:10:35,"2",19.3753,-99.2245,"8","4 km al SUROESTE de V ALVARO OBREGON, CDMX",28/11/2014,19:10:35,revisado
01/12/2014,02:50:06,"3.4",19.353,-99.2158,"2","2 km al NORTE de LA MAGDALENA C, CDMX",01/12/2014,08:50:06,revisado
01/12/2014,03:12:16,"2.1",19.3548,-99.2268,"3.9","3 km al NOROESTE de LA MAGDALENA C, CDMX",01/12/2014,09:12:16,revisado
01/12/2014,04:02:13,"2.3",19.3673,-99.2317,"4.6","4 km al NOROESTE de LA MAGDALENA C, CDMX",01/12/2014,10:02:13,revisado
01/12/2014,04:45:47,"2.2",19.36,-99.2287,"1.6","3 km al NOROESTE de LA MAGDALENA C, CDMX",01/12/2014,10:45:47,revisado
